image name,filepath,label,subtype,group_id
3049.png,/Non_CSAM/images/3049.png,NON_CSAM,Non sensitive,3049.png
0255.jpg,/Non_CSAM/images/0255.jpg,NON_CSAM,Non sensitive,0255.jpg
2947.png,/Non_CSAM/images/2947.png,NON_CSAM,Non sensitive,2947.png
1594.jpg,/Non_CSAM/images/1594.jpg,NON_CSAM,Non sensitive,1594.jpg
0373.jpg,/Non_CSAM/images/0373.jpg,NON_CSAM,Non sensitive,0373.jpg
1795.jpg,/Non_CSAM/images/1795.jpg,NON_CSAM,Non sensitive,1795.jpg
3024.png,/Non_CSAM/images/3024.png,NON_CSAM,Non sensitive,3024.png
1618.jpg,/Non_CSAM/images/1618.jpg,NON_CSAM,Non sensitive,1618.jpg
3055.png,/Non_CSAM/images/3055.png,NON_CSAM,Non sensitive,3055.png
1563.jpg,/Non_CSAM/images/1563.jpg,NON_CSAM,Non sensitive,1563.jpg
3117.jpg,/Non_CSAM/images/3117.jpg,NON_CSAM,Non sensitive,3117.jpg
0069.jpg,/Non_CSAM/images/0069.jpg,NON_CSAM,Non sensitive,0069.jpg
2782.jpg,/Non_CSAM/videos/video016/2782.jpg,NON_CSAM,Non sensitive,video016
2783.jpg,/Non_CSAM/videos/video016/2783.jpg,NON_CSAM,Non sensitive,video016
2946.png,/Non_CSAM/images/2946.png,NON_CSAM,Non sensitive,2946.png
1332.jpg,/Non_CSAM/images/1332.jpg,NON_CSAM,Non sensitive,1332.jpg
0278.jpg,/Non_CSAM/images/0278.jpg,NON_CSAM,Non sensitive,0278.jpg
3046.png,/Non_CSAM/images/3046.png,NON_CSAM,Non sensitive,3046.png
2643.jpg,/Non_CSAM/images/2643.jpg,NON_CSAM,Non sensitive,2643.jpg
0786.webp,/Non_CSAM/images/0786.webp,NON_CSAM,Non sensitive,0786.webp
3089.jpg,/Non_CSAM/images/3089.jpg,NON_CSAM,Non sensitive,3089.jpg
1331.jpg,/Non_CSAM/images/1331.jpg,NON_CSAM,Non sensitive,1331.jpg
0589.jpg,/Non_CSAM/images/0589.jpg,NON_CSAM,Non sensitive,0589.jpg
1359.jpg,/Non_CSAM/images/1359.jpg,NON_CSAM,Non sensitive,1359.jpg
2790.jpg,/Non_CSAM/images/2790.jpg,NON_CSAM,Non sensitive,2790.jpg
0358.jpg,/Non_CSAM/images/0358.jpg,NON_CSAM,Non sensitive,0358.jpg
2785.jpg,/Non_CSAM/images/2785.jpg,NON_CSAM,Non sensitive,2785.jpg
1574.jpg,/Non_CSAM/images/1574.jpg,NON_CSAM,Non sensitive,1574.jpg
1528.jpg,/Non_CSAM/images/1528.jpg,NON_CSAM,Non sensitive,1528.jpg
0290.jpg,/Non_CSAM/images/0290.jpg,NON_CSAM,Non sensitive,0290.jpg
1768.jpg,/Non_CSAM/images/1768.jpg,NON_CSAM,Non sensitive,1768.jpg
2940.png,/Non_CSAM/images/2940.png,NON_CSAM,Non sensitive,2940.png
2705.jpg,/Non_CSAM/images/2705.jpg,NON_CSAM,Non sensitive,2705.jpg
1429.jpg,/Non_CSAM/images/1429.jpg,NON_CSAM,Non sensitive,1429.jpg
3001.png,/Non_CSAM/images/3001.png,NON_CSAM,Non sensitive,3001.png
0099.jpg,/Non_CSAM/images/0099.jpg,NON_CSAM,Non sensitive,0099.jpg
1805.jpg,/Non_CSAM/images/1805.jpg,NON_CSAM,Non sensitive,1805.jpg
0384.jpg,/Non_CSAM/images/0384.jpg,NON_CSAM,Non sensitive,0384.jpg
2964.png,/Non_CSAM/images/2964.png,NON_CSAM,Non sensitive,2964.png
1800.jpg,/Non_CSAM/images/1800.jpg,NON_CSAM,Non sensitive,1800.jpg
2666.jpg,/Non_CSAM/images/2666.jpg,NON_CSAM,Non sensitive,2666.jpg
1334.jpg,/Non_CSAM/images/1334.jpg,NON_CSAM,Non sensitive,1334.jpg
1328.jpg,/Non_CSAM/images/1328.jpg,NON_CSAM,Non sensitive,1328.jpg
2738.jpg,/Non_CSAM/videos/video014/2738.jpg,NON_CSAM,Non sensitive,video014
2739.jpg,/Non_CSAM/videos/video014/2739.jpg,NON_CSAM,Non sensitive,video014
1627.jpg,/Non_CSAM/images/1627.jpg,NON_CSAM,Non sensitive,1627.jpg
1621.jpg,/Non_CSAM/images/1621.jpg,NON_CSAM,Non sensitive,1621.jpg
1445.jpg,/Non_CSAM/images/1445.jpg,NON_CSAM,Non sensitive,1445.jpg
2592.jpg,/Non_CSAM/images/2592.jpg,NON_CSAM,Non sensitive,2592.jpg
2761.jpg,/Non_CSAM/images/2761.jpg,NON_CSAM,Non sensitive,2761.jpg
0252.jpg,/Non_CSAM/images/0252.jpg,NON_CSAM,Non sensitive,0252.jpg
2692.jpg,/Non_CSAM/images/2692.jpg,NON_CSAM,Non sensitive,2692.jpg
