image name,filepath,label,subtype,group_id
0278.jpg,/Non_CSAM/images/0278.jpg,NON_CSAM,Non sensitive,0278.jpg
2705.jpg,/Non_CSAM/images/2705.jpg,NON_CSAM,Non sensitive,2705.jpg
1805.jpg,/Non_CSAM/images/1805.jpg,NON_CSAM,Non sensitive,1805.jpg
2964.png,/Non_CSAM/images/2964.png,NON_CSAM,Non sensitive,2964.png
1800.jpg,/Non_CSAM/images/1800.jpg,NON_CSAM,Non sensitive,1800.jpg
2864.png,/Non_CSAM/images/2864.png,NON_CSAM,Non sensitive,2864.png
0267.jpg,/Non_CSAM/images/0267.jpg,NON_CSAM,Non sensitive,0267.jpg
1494.jpg,/Non_CSAM/images/1494.jpg,NON_CSAM,Non sensitive,1494.jpg
1620.jpg,/Non_CSAM/images/1620.jpg,NON_CSAM,Non sensitive,1620.jpg
2981.png,/Non_CSAM/images/2981.png,NON_CSAM,Non sensitive,2981.png
2674.jpg,/Non_CSAM/images/2674.jpg,NON_CSAM,Non sensitive,2674.jpg
3092.jpg,/Non_CSAM/images/3092.jpg,NON_CSAM,Non sensitive,3092.jpg
0025.jpeg,/Non_CSAM/images/0025.jpeg,NON_CSAM,Non sensitive,0025.jpeg
3019.png,/Non_CSAM/images/3019.png,NON_CSAM,Non sensitive,3019.png
0431.jpg,/Non_CSAM/images/0431.jpg,NON_CSAM,Non sensitive,0431.jpg
0140.jpg,/Non_CSAM/images/0140.jpg,NON_CSAM,Non sensitive,0140.jpg
2735.jpg,/Non_CSAM/images/2735.jpg,NON_CSAM,Non sensitive,2735.jpg
0197.jpg,/Non_CSAM/images/0197.jpg,NON_CSAM,Non sensitive,0197.jpg
1703.jpg,/Non_CSAM/images/1703.jpg,NON_CSAM,Non sensitive,1703.jpg
1535.jpg,/Non_CSAM/images/1535.jpg,NON_CSAM,Non sensitive,1535.jpg
3015.png,/Non_CSAM/images/3015.png,NON_CSAM,Non sensitive,3015.png
1619.jpg,/Non_CSAM/images/1619.jpg,NON_CSAM,Non sensitive,1619.jpg
0377.jpg,/Non_CSAM/images/0377.jpg,NON_CSAM,Non sensitive,0377.jpg
0549.jpg,/Non_CSAM/images/0549.jpg,NON_CSAM,Non sensitive,0549.jpg
1406.jpg,/Non_CSAM/images/1406.jpg,NON_CSAM,Non sensitive,1406.jpg
1733.jpg,/Non_CSAM/images/1733.jpg,NON_CSAM,Non sensitive,1733.jpg
0221.jpg,/Non_CSAM/videos/video006/0221.jpg,NON_CSAM,Non sensitive,video006
0222.jpg,/Non_CSAM/videos/video006/0222.jpg,NON_CSAM,Non sensitive,video006
2831.png,/Non_CSAM/images/2831.png,NON_CSAM,Non sensitive,2831.png
0590.jpg,/Non_CSAM/images/0590.jpg,NON_CSAM,Non sensitive,0590.jpg
1614.jpg,/Non_CSAM/images/1614.jpg,NON_CSAM,Non sensitive,1614.jpg
3057.jpg,/Non_CSAM/images/3057.jpg,NON_CSAM,Non sensitive,3057.jpg
1392.jpg,/Non_CSAM/videos/video008/1392.jpg,NON_CSAM,Non sensitive,video008
1393.jpg,/Non_CSAM/videos/video008/1393.jpg,NON_CSAM,Non sensitive,video008
1394.jpg,/Non_CSAM/videos/video008/1394.jpg,NON_CSAM,Non sensitive,video008
0494.jpg,/Non_CSAM/images/0494.jpg,NON_CSAM,Non sensitive,0494.jpg
1376.jpg,/Non_CSAM/images/1376.jpg,NON_CSAM,Non sensitive,1376.jpg
1530.jpg,/Non_CSAM/images/1530.jpg,NON_CSAM,Non sensitive,1530.jpg
0768.webp,/Non_CSAM/images/0768.webp,NON_CSAM,Non sensitive,0768.webp
0266.jpg,/Non_CSAM/images/0266.jpg,NON_CSAM,Non sensitive,0266.jpg
1628.jpg,/Non_CSAM/images/1628.jpg,NON_CSAM,Non sensitive,1628.jpg
0701.jpg,/Non_CSAM/images/0701.jpg,NON_CSAM,Non sensitive,0701.jpg
3119.jpg,/Non_CSAM/images/3119.jpg,NON_CSAM,Non sensitive,3119.jpg
1388.jpg,/Non_CSAM/images/1388.jpg,NON_CSAM,Non sensitive,1388.jpg
0146.jpg,/Non_CSAM/images/0146.jpg,NON_CSAM,Non sensitive,0146.jpg
0534.jpg,/Non_CSAM/images/0534.jpg,NON_CSAM,Non sensitive,0534.jpg
2999.png,/Non_CSAM/images/2999.png,NON_CSAM,Non sensitive,2999.png
1398.jpg,/Non_CSAM/images/1398.jpg,NON_CSAM,Non sensitive,1398.jpg
2860.png,/Non_CSAM/images/2860.png,NON_CSAM,Non sensitive,2860.png
