image name,filepath,label,subtype,group_id,text
2947.png,/Non_CSAM/images/2947.png,NON_CSAM,Non sensitive,2947.png,
3089.jpg,/Non_CSAM/images/3089.jpg,NON_CSAM,Non sensitive,3089.jpg,
1328.jpg,/Non_CSAM/images/1328.jpg,NON_CSAM,Non sensitive,1328.jpg,
2936.png,/Non_CSAM/images/2936.png,NON_CSAM,Non sensitive,2936.png,
2595.jpg,/Non_CSAM/images/2595.jpg,NON_CSAM,Non sensitive,2595.jpg,
1794.jpg,/Non_CSAM/images/1794.jpg,NON_CSAM,Non sensitive,1794.jpg,
0092.jpg,/Non_CSAM/images/0092.jpg,NON_CSAM,Non sensitive,0092.jpg,
0443.jpg,/Non_CSAM/images/0443.jpg,NON_CSAM,Non sensitive,0443.jpg,
0209.jpg,/Non_CSAM/images/0209.jpg,NON_CSAM,Non sensitive,0209.jpg,
2911.png,/Non_CSAM/images/2911.png,NON_CSAM,Non sensitive,2911.png,
2983.png,/Non_CSAM/images/2983.png,NON_CSAM,Non sensitive,2983.png,
0247.jpg,/Non_CSAM/images/0247.jpg,NON_CSAM,Non sensitive,0247.jpg,
2672.jpg,/Non_CSAM/images/2672.jpg,NON_CSAM,Non sensitive,2672.jpg,
2654.jpg,/Non_CSAM/images/2654.jpg,NON_CSAM,Non sensitive,2654.jpg,
0046.webp,/Non_CSAM/images/0046.webp,NON_CSAM,Non sensitive,0046.webp,
0061.jpg,/Non_CSAM/images/0061.jpg,NON_CSAM,Non sensitive,0061.jpg,
0387.jpg,/Non_CSAM/images/0387.jpg,NON_CSAM,Non sensitive,0387.jpg,
0744.webp,/Non_CSAM/images/0744.webp,NON_CSAM,Non sensitive,0744.webp,
0668.jpg,/Non_CSAM/images/0668.jpg,NON_CSAM,Non sensitive,0668.jpg,
0664.jpg,/Non_CSAM/images/0664.jpg,NON_CSAM,Non sensitive,0664.jpg,
1685.jpg,/Non_CSAM/images/1685.jpg,NON_CSAM,Non sensitive,1685.jpg,
2781.jpg,/Non_CSAM/images/2781.jpg,NON_CSAM,Non sensitive,2781.jpg,
0006.webp,/Non_CSAM/images/0006.webp,NON_CSAM,Non sensitive,0006.webp,
0734.webp,/Non_CSAM/images/0734.webp,NON_CSAM,Non sensitive,0734.webp,
1553.jpg,/Non_CSAM/images/1553.jpg,NON_CSAM,Non sensitive,1553.jpg,
0279.jpg,/Non_CSAM/images/0279.jpg,NON_CSAM,Non sensitive,0279.jpg,
0019.webp,/Non_CSAM/images/0019.webp,NON_CSAM,Non sensitive,0019.webp,
2900.png,/Non_CSAM/images/2900.png,NON_CSAM,Non sensitive,2900.png,
0771.webp,/Non_CSAM/images/0771.webp,NON_CSAM,Non sensitive,0771.webp,
0302.jpg,/Non_CSAM/images/0302.jpg,NON_CSAM,Non sensitive,0302.jpg,
0312.jpg,/Non_CSAM/images/0312.jpg,NON_CSAM,Non sensitive,0312.jpg,
0776.webp,/Non_CSAM/images/0776.webp,NON_CSAM,Non sensitive,0776.webp,
1587.jpg,/Non_CSAM/images/1587.jpg,NON_CSAM,Non sensitive,1587.jpg,
1720.jpg,/Non_CSAM/images/1720.jpg,NON_CSAM,Non sensitive,1720.jpg,
1812.jpg,/Non_CSAM/images/1812.jpg,NON_CSAM,Non sensitive,1812.jpg,
0336.jpg,/Non_CSAM/images/0336.jpg,NON_CSAM,Non sensitive,0336.jpg,
2618.jpg,/Non_CSAM/images/2618.jpg,NON_CSAM,Non sensitive,2618.jpg,
0054.webp,/Non_CSAM/images/0054.webp,NON_CSAM,Non sensitive,0054.webp,
2794.jpg,/Non_CSAM/images/2794.jpg,NON_CSAM,Non sensitive,2794.jpg,
2593.jpg,/Non_CSAM/images/2593.jpg,NON_CSAM,Non sensitive,2593.jpg,
1782.jpg,/Non_CSAM/images/1782.jpg,NON_CSAM,Non sensitive,1782.jpg,
0698.jpg,/Non_CSAM/images/0698.jpg,NON_CSAM,Non sensitive,0698.jpg,
0392.jpg,/Non_CSAM/images/0392.jpg,NON_CSAM,Non sensitive,0392.jpg,
0233.jpg,/Non_CSAM/images/0233.jpg,NON_CSAM,Non sensitive,0233.jpg,
0176.jpg,/Non_CSAM/images/0176.jpg,NON_CSAM,Non sensitive,0176.jpg,
2827.png,/Non_CSAM/images/2827.png,NON_CSAM,Non sensitive,2827.png,
1449.jpg,/Non_CSAM/images/1449.jpg,NON_CSAM,Non sensitive,1449.jpg,
0563.jpg,/Non_CSAM/images/0563.jpg,NON_CSAM,Non sensitive,0563.jpg,
2626.jpg,/Non_CSAM/images/2626.jpg,NON_CSAM,Non sensitive,2626.jpg,
0033.jpg,/Non_CSAM/images/0033.jpg,NON_CSAM,Non sensitive,0033.jpg,
0283.jpg,/Non_CSAM/images/0283.jpg,NON_CSAM,Non sensitive,0283.jpg,
0395.jpg,/Non_CSAM/images/0395.jpg,NON_CSAM,Non sensitive,0395.jpg,
